Latitude,Longitude
45.842352,3.132321
45.842357,3.132321
45.842357,3.132325
45.842352,3.132326
45.842357,3.132327
45.842354,3.132330
45.842346,3.132333
45.842343,3.132339
45.842337,3.132340
45.842334,3.132342
45.842345,3.132341
45.842352,3.132339
0.035380,0.011648
